Datetime,Valeur
2019-12-02 22:00:00,6.93
2019-12-02 22:15:00,7.14
2019-12-02 22:30:00,7.14
2019-12-02 22:45:00,7.35
2019-12-02 23:00:00,6.72
2019-12-02 23:15:00,5.67
2019-12-02 23:30:00,5.67
2019-12-02 23:45:00,6.09
2019-12-03 00:00:00,5.04
2019-12-03 00:15:00,4.83
2019-12-03 00:30:00,4.83
2019-12-03 00:45:00,5.04
2019-12-03 01:00:00,4.62
2019-12-03 01:15:00,5.04
2019-12-03 01:30:00,5.04
2019-12-03 01:45:00,4.62
2019-12-03 02:00:00,4.83
2019-12-03 02:15:00,4.83
2019-12-03 02:30:00,5.04
2019-12-03 02:45:00,4.83
2019-12-03 03:00:00,4.83
2019-12-03 03:15:00,4.62
2019-12-03 03:30:00,4.83
2019-12-03 03:45:00,4.83
2019-12-03 04:00:00,5.04
2019-12-03 04:15:00,5.04
2019-12-03 04:30:00,4.83
2019-12-03 04:45:00,4.83
2019-12-03 05:00:00,4.83
2019-12-03 05:15:00,4.62
2019-12-03 05:30:00,4.83
2019-12-03 05:45:00,5.25
2019-12-03 06:00:00,4.83
2019-12-03 06:15:00,5.88
2019-12-03 06:30:00,14.49
2019-12-03 06:45:00,13.65
2019-12-03 07:00:00,12.81
2019-12-03 07:15:00,15.54
2019-12-03 07:30:00,13.23
2019-12-03 07:45:00,15.96
2019-12-03 08:00:00,13.86
2019-12-03 08:15:00,19.11
2019-12-03 08:30:00,17.01
2019-12-03 08:45:00,17.85
2019-12-03 09:00:00,17.85
2019-12-03 09:15:00,15.96
2019-12-03 09:30:00,16.8
2019-12-03 09:45:00,21.42
2019-12-03 10:00:00,21.21
2019-12-03 10:15:00,18.06
2019-12-03 10:30:00,16.59
2019-12-03 10:45:00,18.27
2019-12-03 11:00:00,20.37
2019-12-03 11:15:00,16.38
2019-12-03 11:30:00,14.7
2019-12-03 11:45:00,15.54
2019-12-03 12:00:00,20.16
2019-12-03 12:15:00,18.9
2019-12-03 12:30:00,15.12
2019-12-03 12:45:00,19.74
2019-12-03 13:00:00,14.28
2019-12-03 13:15:00,17.64
2019-12-03 13:30:00,20.58
2019-12-03 13:45:00,20.16
2019-12-03 14:00:00,14.07
2019-12-03 14:15:00,11.55
2019-12-03 14:30:00,11.13
2019-12-03 14:45:00,11.55
2019-12-03 15:00:00,11.34
2019-12-03 15:15:00,10.92
2019-12-03 15:30:00,10.92
2019-12-03 15:45:00,10.92
2019-12-03 16:00:00,11.13
2019-12-03 16:15:00,10.5
2019-12-03 16:30:00,10.5
2019-12-03 16:45:00,10.5
2019-12-03 17:00:00,10.29
2019-12-03 17:15:00,9.87
2019-12-03 17:30:00,9.45
2019-12-03 17:45:00,9.45
2019-12-03 18:00:00,9.45
2019-12-03 18:15:00,9.66
2019-12-03 18:30:00,9.24
2019-12-03 18:45:00,9.03
2019-12-03 19:00:00,8.19
2019-12-03 19:15:00,8.19
2019-12-03 19:30:00,7.35
2019-12-03 19:45:00,7.14
2019-12-03 20:00:00,6.72
2019-12-03 20:15:00,6.3
2019-12-03 20:30:00,6.3
2019-12-03 20:45:00,6.3
2019-12-03 21:00:00,6.09
2019-12-03 21:15:00,6.3
2019-12-03 21:30:00,6.09
2019-12-03 21:45:00,5.88
2019-12-03 22:00:00,6.09
2019-12-03 22:15:00,5.88
2019-12-03 22:30:00,6.09
2019-12-03 22:45:00,5.88
2019-12-03 23:00:00,5.46
2019-12-03 23:15:00,5.04
2019-12-03 23:30:00,4.83
2019-12-03 23:45:00,5.04
